# Yang et al. (2019) source catalog, Version 1.0 
# 04/06/2019
# ------------------------------
#
# GENERAL INFORMATION 
#
# The source catalog used in the Yang et al. (2019) paper:
# "Evident black hole-bulge coevolution in the distant universe"
# Yang, G.; Brandt, W. N.; Alexander, D. M.; Chen, C.-T. J.; Ni, Q.;
# Vito, F.; Zhu, F.-F. (2019, MNRAS, in press).
# arXiv: 1903.00003 [astro-ph.GA]
#
# Sources from CANDELS/GOODS-North are not contained in this
# catalog as the formal paper (Barro et al. in prep.) is not
# published yet. We will update this catalog to include
# GOODS-North data after the publication of Barro et al. (in prep.)
#
# Any queries/feedback about this catalog should be sent
# to both Dr. Guang Yang (gyang206265@gmail.com) and
# This catalog is available at
#  http://www.personal.psu.edu/gxy909/
#
# Below we briefly describe each column. To understand these,
# one should make reference to the Yang et al. (2018) paper
# described above.
#
# If we find any issues with this catalog, we will continue to
# improve it. Thus, before using them in a final scientific work,
# we suggest that you download the latest version available.
# ------------------------------
#
# Column Description
#
# field: 1=GOODS-South, 2=GOODS-North (not released now), 3=EGS, 4=UDS, 5=COSMOS
# CANDELS_ID: the ID in the CANDELS catalog
# ra, dec: J2000 coordinates
# z: redshift from the CANDELS catalog 
# morph_type: 0=bulge-dominated, 1=comparison; 
# log(Mstar): log(stellar mass) in units of M_sun; 
#             the median value of five CANDELS SED-fitting teams
# log(SFR): log(star formation rate) in units of M_sun/yr; 
#             the median value of five CANDELS SED-fitting team
#             or derived from Herschel FIR photometry.
#             Note that the bottom value is set to -10
# SFR_type: 0=SED-fitting, 1=Herschel FIR
# log(Lx): log(intrinsic 2-10 keV X-ray luminosity) in units of erg/s
#          for X-ray non-detected sources, the value is set to -99
# ------------------------------
#
# Catalog Data
#
# field CANDELS_ID ra dec z morph_type log(Mstar) log(SFR) SFR_type log(Lx) 
1  2043 53.18779 -27.898275 1.36 1   9.71   0.83 0 -99.00
1  2051 53.16327 -27.899372 0.56 1  10.14   0.97 1 -99.00
1  2095 53.23307 -27.899155 0.60 1  10.11   1.45 1 -99.00
1  2106 53.15947 -27.898457 0.69 0  10.23 -10.00 0 -99.00
1  2155 53.25535 -27.896847 1.12 1   9.83   1.21 1 -99.00
1  2178 53.14520 -27.897242 0.69 1  10.59  -1.93 0 -99.00
1  2238 53.23200 -27.896053 0.78 1  10.26   1.12 1 -99.00
1  2265 53.17003 -27.895424 0.98 0  10.10   1.06 1 -99.00
1  2280 53.16067 -27.897108 0.66 0  10.79  -0.64 0  42.49
1  2359 53.20528 -27.893715 1.19 0  10.12   0.68 0  43.01
1  2398 53.18122 -27.894529 0.96 1   9.88   1.08 0 -99.00
1  2457 53.19258 -27.892137 1.42 1  10.31   1.46 1 -99.00
1  2508 53.19256 -27.891409 1.38 1   9.99  -0.83 0 -99.00
1  2551 53.23665 -27.891497 1.48 1  10.23   1.27 1 -99.00
1  2573 53.22014 -27.890871 1.50 0  10.71  -1.52 0 -99.00
1  2587 53.23283 -27.891096 0.98 1  10.42   1.22 1 -99.00
1  2599 53.25504 -27.891468 0.70 0  10.44  -1.27 0 -99.00
1  2607 53.12548 -27.889923 1.37 1   9.97  -1.63 0 -99.00
1  2613 53.19301 -27.890842 1.38 1  10.72   1.96 1  42.18
1  2614 53.19713 -27.890055 1.31 1  10.24   1.69 1 -99.00
1  2674 53.14419 -27.890129 1.11 1  10.03   1.95 1  41.64
1  2693 53.14661 -27.889677 0.67 1  10.31  -1.05 0 -99.00
1  2697 53.24159 -27.889562 1.03 1   9.98   1.14 1 -99.00
1  2750 53.17856 -27.890215 0.66 0  10.68  -0.98 0 -99.00
1  2795 53.11271 -27.888447 1.10 1  10.53   1.32 1  42.06
1  2847 53.16269 -27.887367 1.38 1  10.62   0.90 0  42.35
1  2862 53.13452 -27.887358 1.07 0  10.29  -0.59 0 -99.00
1  2909 53.13895 -27.886913 0.68 1   9.83   0.99 1 -99.00
1  2921 53.12709 -27.886728 1.02 1  10.05   0.95 1 -99.00
1  2922 53.20925 -27.886738 1.20 0  10.37  -1.52 0 -99.00
1  2924 53.25309 -27.888462 0.58 1  10.08   0.85 1 -99.00
1  2962 53.25844 -27.885834 0.87 0   9.93  -1.15 0 -99.00
1  2964 53.13070 -27.888662 1.13 0  11.43  -2.22 0  41.60
1  2987 53.12882 -27.886507 0.65 1  10.05   0.94 1 -99.00
1  3017 53.25531 -27.885326 0.91 0  10.26  -2.28 0 -99.00
1  3041 53.13215 -27.885181 1.29 1   9.85   0.95 0 -99.00
1  3060 53.19609 -27.885733 1.36 1  10.16   1.37 1 -99.00
1  3083 53.21322 -27.885700 0.98 1  10.20   1.47 1 -99.00
1  3109 53.13687 -27.884125 1.11 0   9.95  -0.04 0 -99.00
1  3117 53.26026 -27.885141 0.82 0  10.50 -10.00 0 -99.00
1  3149 53.25973 -27.884991 0.85 1  10.53   0.17 0 -99.00
1  3167 53.17632 -27.883913 1.29 1  10.02   1.28 0 -99.00
1  3184 53.12678 -27.884445 0.65 1   9.83   1.49 1 -99.00
1  3188 53.26371 -27.885172 1.35 1  10.99   1.73 1  43.12
1  3193 53.26324 -27.885145 0.77 0  10.58  -0.34 0 -99.00
1  3326 53.16452 -27.883787 0.69 0  10.93  -0.87 0  41.56
1  3355 53.12748 -27.881659 0.98 1   9.95   1.11 1 -99.00
1  3371 53.12470 -27.881214 1.02 0  10.04  -0.07 0  41.59
1  3377 53.16446 -27.883472 0.66 1  10.84  -1.74 0 -99.00
1  3381 53.18969 -27.880676 1.46 1  10.11   0.17 0 -99.00
1  3395 53.20892 -27.881098 0.67 0   9.95   1.41 1 -99.00
1  3416 53.15262 -27.880587 1.43 0   9.85   0.31 0 -99.00
1  3455 53.25053 -27.880878 0.89 1  10.10   1.00 1 -99.00
1  3511 53.22949 -27.880026 0.85 1   9.95   0.80 0 -99.00
1  3521 53.13951 -27.879646 1.39 1  10.25   0.92 0 -99.00
1  3528 53.20971 -27.879679 0.85 1  10.46   0.77 1 -99.00
1  3531 53.22421 -27.879740 1.46 1  10.22   1.48 0 -99.00
1  3586 53.13980 -27.880617 1.10 1  10.54   1.31 1 -99.00
1  3607 53.22765 -27.879089 1.23 0  10.41  -1.40 0 -99.00
1  3628 53.20076 -27.882404 0.67 0  11.10   1.56 1  42.69
1  3639 53.19818 -27.878674 1.25 0   9.90   1.36 1 -99.00
1  3647 53.07283 -27.880007 1.10 1  11.00  -1.22 0 -99.00
1  3648 53.07294 -27.878332 1.10 0   9.85  -1.70 0 -99.00
1  3656 53.06536 -27.878584 1.35 1   9.71   0.44 0 -99.00
1  3665 53.06567 -27.878866 1.38 0  10.73   0.24 0  42.63
1  3673 53.20641 -27.878086 1.20 1  10.63   0.67 0 -99.00
1  3683 53.06928 -27.878775 1.05 1  10.05   1.20 1 -99.00
1  3687 53.13660 -27.878790 0.56 1   9.90   0.86 1 -99.00
1  3694 53.13123 -27.878181 0.94 1   9.77   0.99 0 -99.00
1  3715 53.13076 -27.877806 1.09 0  10.18  -1.52 0 -99.00
1  3752 53.06737 -27.878168 1.18 1  10.50   0.69 0 -99.00
1  3767 53.06953 -27.877506 1.04 0  10.47  -1.16 0 -99.00
1  3827 53.12635 -27.877119 0.71 1  10.57   1.03 1  40.90
1  3857 53.06195 -27.876762 1.10 1   9.74   0.82 0 -99.00
1  3901 53.15294 -27.877289 0.59 1   9.85   0.40 1 -99.00
1  3952 53.07276 -27.876322 1.10 1  10.87  -1.30 0 -99.00
1  3978 53.08451 -27.875841 1.12 1  10.68  -0.54 0 -99.00
1  4037 53.18978 -27.874477 0.96 1   9.85   0.66 1 -99.00
1  4062 53.07145 -27.875568 1.06 0  10.75  -1.10 0 -99.00
1  4160 53.25404 -27.874891 1.07 1  11.05   1.38 1 -99.00
1  4171 53.25174 -27.874489 1.09 1  10.53   1.23 1 -99.00
1  4210 53.07606 -27.873613 0.74 0   9.77   1.17 1 -99.00
1  4216 53.07339 -27.874582 1.10 1  11.05   2.37 1 -99.00
1  4225 53.25746 -27.873869 0.65 1   9.86   0.82 1 -99.00
1  4314 53.19131 -27.872107 0.98 1   9.89   1.31 1 -99.00
1  4348 53.10733 -27.872261 1.10 1  10.29   1.77 1 -99.00
1  4351 53.19118 -27.872932 0.98 1   9.79   0.91 0  41.40
1  4376 53.07153 -27.872459 1.10 1  10.79   1.88 1  43.94
1  4433 53.16313 -27.873039 0.76 1  10.47   1.35 1 -99.00
1  4459 53.10032 -27.870735 1.02 0  10.10  -1.52 0 -99.00
1  4460 53.16242 -27.870666 1.33 1  10.11   1.07 0 -99.00
1  4483 53.17130 -27.870974 0.53 1   9.86   0.21 1 -99.00
1  4529 53.08042 -27.872034 1.10 0  11.04  -2.00 0 -99.00
1  4608 53.08131 -27.871586 1.04 1  10.86   0.65 0 -99.00
1  4656 53.10641 -27.869186 0.96 1   9.79   0.78 0 -99.00
1  4680 53.18758 -27.868818 0.76 1  10.17   0.90 1 -99.00
1  4727 53.07772 -27.869280 0.76 0  10.37  -0.63 0 -99.00
1  4779 53.22195 -27.868195 1.24 1  10.21   1.24 1 -99.00
1  4820 53.05743 -27.867437 1.49 1   9.90   1.01 0 -99.00
1  4862 53.08890 -27.868092 1.10 1  10.35   1.27 1 -99.00
1  4901 53.17804 -27.866461 1.12 1  10.26   1.66 1 -99.00
1  4989 53.24145 -27.866695 0.58 0  10.00  -1.70 0 -99.00
1  5028 53.11703 -27.867321 0.56 0  10.72  -1.04 0  40.56
1  5040 53.11678 -27.865545 0.55 1  10.25   0.68 1 -99.00
1  5068 53.08620 -27.864483 1.09 1   9.79  -1.17 0 -99.00
1  5105 53.17390 -27.865049 0.82 1   9.93   0.59 0 -99.00
1  5145 53.10607 -27.865192 0.67 1  10.21   1.69 1  40.98
1  5157 53.08935 -27.864418 0.83 1   9.80   0.88 1 -99.00
1  5167 53.10169 -27.865030 0.64 1   9.85   1.38 1 -99.00
1  5205 53.10846 -27.863256 1.24 1   9.78   1.01 0 -99.00
1  5221 53.19657 -27.863205 1.11 1  10.44   1.29 0  42.41
1  5223 53.05820 -27.862574 1.35 0   9.98   0.66 0 -99.00
1  5284 53.17566 -27.862316 0.84 0   9.97  -3.00 0 -99.00
1  5338 53.17345 -27.865955 0.78 0  11.15   0.37 0  41.10
1  5399 53.13543 -27.861353 1.00 0   9.82   0.73 1 -99.00
1  5435 53.04888 -27.860817 1.41 1  10.39   1.14 1 -99.00
1  5499 53.13098 -27.860409 1.38 1  10.01   1.14 1 -99.00
1  5513 53.12677 -27.861225 0.76 1   9.86   0.85 1 -99.00
1  5551 53.12474 -27.860378 0.53 1  10.08  -1.59 0 -99.00
1  5556 53.08627 -27.861727 0.68 1  10.17   1.79 1  40.97
1  5570 53.17880 -27.859694 0.75 1  10.25  -1.34 0 -99.00
1  5614 53.20283 -27.859007 1.34 1   9.85   1.05 0 -99.00
1  5626 53.13153 -27.858255 1.37 0   9.87  -1.22 0 -99.00
1  5649 53.13059 -27.859026 1.35 0  10.45   0.05 0 -99.00
1  5684 53.11616 -27.861217 0.52 0  10.59  -1.22 0 -99.00
1  5691 53.04911 -27.859055 0.67 1  10.13   0.90 1 -99.00
1  5693 53.20779 -27.858063 0.77 0   9.76   0.56 0 -99.00
1  5700 53.22192 -27.859400 0.74 1  10.28   0.93 1 -99.00
1  5712 53.08975 -27.859257 0.54 0  10.45  -0.59 0 -99.00
1  5756 53.18444 -27.857429 1.23 1  10.71  -0.96 0 -99.00
1  5803 53.15558 -27.857616 0.52 1  10.03   1.03 0  40.79
1  5812 53.07794 -27.858177 0.65 1  10.44   1.06 1 -99.00
1  5856 53.05853 -27.856808 1.22 1  10.30   1.28 1 -99.00
1  5865 53.06416 -27.857172 0.87 1   9.71   0.89 0 -99.00
1  5889 53.09517 -27.856796 0.90 1  10.01   1.10 0 -99.00
1  5890 53.15490 -27.857794 0.96 1  10.64   1.62 1 -99.00
1  5909 53.12531 -27.861286 0.53 0  10.81  -0.89 0  40.92
1  5938 53.07827 -27.856895 0.50 1   9.93   0.16 1 -99.00
1  5950 53.16298 -27.855196 1.00 1  10.03  -0.40 0 -99.00
1  6015 53.13783 -27.856632 0.74 1  10.52   0.75 1 -99.00
1  6016 53.22035 -27.855509 1.22 1  10.43   1.41 1  43.55
1  6059 53.16406 -27.854292 1.29 1  10.13   1.36 1 -99.00
1  6082 53.16673 -27.853943 1.32 1   9.93   1.16 1 -99.00
1  6214 53.07203 -27.853661 1.22 1  10.65   1.48 0 -99.00
1  6221 53.22028 -27.854092 1.00 1  10.86   1.70 1 -99.00
1  6264 53.12255 -27.852730 0.74 1  10.49   0.71 1 -99.00
1  6293 53.04681 -27.851988 1.45 1  10.05   1.12 0 -99.00
1  6308 53.10917 -27.852917 0.67 1  10.35   1.14 1  40.75
1  6342 53.09553 -27.851278 0.90 1   9.76   0.95 0 -99.00
1  6357 53.05259 -27.851540 1.23 1  10.85  -1.58 0 -99.00
1  6380 53.13713 -27.852175 0.73 0   9.93  -1.77 0 -99.00
1  6389 53.20630 -27.851606 0.78 1   9.72   0.66 1 -99.00
1  6401 53.05001 -27.851173 1.02 1  10.44  -0.45 0 -99.00
1  6413 53.14689 -27.851330 0.73 0   9.79  -0.20 0 -99.00
1  6431 53.06109 -27.851210 1.47 0  10.84   1.41 1 -99.00
1  6438 53.08809 -27.850643 0.76 1   9.79   0.86 1 -99.00
1  6467 53.13389 -27.851540 0.68 1   9.99   0.76 1 -99.00
1  6472 53.22091 -27.851332 0.73 1  10.22   1.13 1 -99.00
1  6482 53.06056 -27.851223 0.74 1   9.94   0.66 0 -99.00
1  6512 53.09221 -27.850529 0.73 1  10.45  -1.22 0 -99.00
1  6552 53.09690 -27.850510 0.96 0  10.67  -1.30 0 -99.00
1  6714 53.10353 -27.847944 1.33 1  10.00   1.33 0 -99.00
1  6739 53.04358 -27.847652 0.94 0  10.13  -2.00 0 -99.00
1  6770 53.08325 -27.847996 1.27 1   9.84   1.12 0 -99.00
1  6773 53.13573 -27.848312 0.60 1   9.71   0.30 1 -99.00
1  6811 53.21803 -27.847742 0.51 1  10.07   0.91 1 -99.00
1  6856 53.12537 -27.850073 0.73 0  10.84  -1.00 0  40.75
1  6869 53.13639 -27.850700 0.74 0  11.04   0.93 1  40.91
1  6997 53.21487 -27.845737 0.98 1  10.07   1.01 1 -99.00
1  7011 53.10461 -27.845352 1.04 0   9.96   0.35 0  42.63
1  7036 53.04183 -27.844873 1.08 0   9.93  -1.68 0 -99.00
1  7079 53.08968 -27.844601 1.50 1   9.84   1.18 0 -99.00
1  7111 53.04334 -27.845440 1.30 1  10.33   1.83 1 -99.00
1  7183 53.11549 -27.844666 1.10 1  10.79   1.73 1  42.02
1  7191 53.05538 -27.843884 1.34 1  10.32   1.52 1 -99.00
1  7195 53.16188 -27.845841 1.01 1  10.69   1.23 1 -99.00
1  7219 53.10005 -27.844171 1.09 0  10.50  -1.30 0 -99.00
1  7257 53.18795 -27.842384 1.14 0   9.72  -1.52 0 -99.00
1  7273 53.04987 -27.842739 0.98 1   9.80   0.79 1 -99.00
1  7294 53.16922 -27.842712 0.79 0   9.84  -0.72 0 -99.00
1  7343 53.07956 -27.842401 1.13 1   9.82   1.08 0 -99.00
1  7401 53.05606 -27.842787 0.73 1   9.73   1.17 1 -99.00
1  7439 53.16442 -27.842171 0.58 1  10.44  -1.40 0  41.48
1  7442 53.14182 -27.841356 1.38 1  10.30   1.65 1  41.54
1  7489 53.18688 -27.841169 0.80 1   9.74   0.81 1  41.18
1  7522 53.05017 -27.840115 1.26 1   9.98   1.03 0 -99.00
1  7550 53.12513 -27.840752 1.00 0  10.08  -0.71 0  41.38
1  7613 53.14753 -27.839197 1.48 1   9.90   0.01 0 -99.00
1  7717 53.08200 -27.839874 0.56 1  10.09   0.92 1 -99.00
1  7725 53.13750 -27.841711 0.67 1  10.66   1.77 1  41.06
1  7781 53.17790 -27.839195 0.77 1   9.76   1.07 0 -99.00
1  7792 53.12728 -27.838598 0.96 1   9.83   0.70 0 -99.00
1  7837 53.10776 -27.838812 1.10 1  10.36   1.57 1  41.24
1  7863 53.21848 -27.836983 1.12 1   9.72   0.99 0 -99.00
1  7880 53.21494 -27.838238 0.85 1  10.03   1.16 1  41.22
1  7886 53.20435 -27.837643 1.12 1  10.60   1.23 0 -99.00
1  7945 53.11399 -27.837763 0.77 1  10.03   0.82 1  40.89
1  7969 53.21484 -27.836071 1.08 0  10.27  -1.55 0 -99.00
1  7975 53.12697 -27.837501 0.52 0  10.12  -1.59 0 -99.00
1  7988 53.06809 -27.837044 1.05 1   9.71   0.97 0 -99.00
1  7996 53.05322 -27.836906 0.96 1   9.91   0.82 0 -99.00
1  8008 53.17680 -27.840345 0.58 1  10.42   1.10 1  40.63
1  8040 53.15540 -27.835815 1.14 1  10.11   1.08 1 -99.00
1  8041 53.10500 -27.835936 1.05 0  10.41  -1.19 0 -99.00
1  8067 53.18456 -27.836039 1.04 0  10.32  -0.55 0 -99.00
1  8089 53.04771 -27.835178 1.33 1  10.17   0.93 0 -99.00
1  8126 53.10933 -27.834890 1.16 1  10.09   1.45 1 -99.00
1  8151 53.04768 -27.834927 1.33 1  10.60   1.22 1  42.29
1  8153 53.06988 -27.835489 0.73 0  10.03  -1.10 0  41.93
1  8167 53.21135 -27.835297 1.07 1  10.28   1.55 1 -99.00
1  8244 53.13618 -27.836452 0.66 1  10.74   0.70 1 -99.00
1  8264 53.15216 -27.835110 0.69 1   9.77   1.00 1 -99.00
1  8284 53.15734 -27.833683 1.31 1  10.07   0.06 0 -99.00
1  8321 53.04741 -27.834284 1.36 0  10.44  -1.16 0 -99.00
1  8344 53.20914 -27.833633 1.30 0  10.22  -0.65 0 -99.00
1  8352 53.11087 -27.833866 0.73 1   9.89   0.80 1 -99.00
1  8388 53.04681 -27.833056 1.34 1  10.53  -0.19 0 -99.00
1  8398 53.21814 -27.833687 0.85 1  10.12   1.22 1 -99.00
1  8402 53.14619 -27.832905 1.05 1   9.76   0.91 1 -99.00
1  8443 53.13252 -27.832916 0.98 1  10.11   1.27 1  41.46
1  8478 53.22398 -27.831753 1.44 1   9.88   0.73 0 -99.00
1  8512 53.06237 -27.834833 0.67 1  10.15   1.32 1 -99.00
1  8513 53.19815 -27.832104 1.20 1  10.16   0.35 0  42.50
1  8533 53.22986 -27.831865 1.41 1   9.84   1.11 1 -99.00
1  8541 53.21275 -27.831331 0.92 0   9.72  -1.94 0 -99.00
1  8551 53.19212 -27.831520 1.23 0  10.30  -1.40 0 -99.00
1  8557 53.16803 -27.832508 0.67 0  10.12  -1.15 0 -99.00
1  8563 53.13211 -27.831739 0.78 1   9.75   0.48 0 -99.00
1  8736 53.04259 -27.830421 1.30 1  10.50   1.23 1 -99.00
1  8757 53.07716 -27.832745 0.63 0  10.67  -0.96 0 -99.00
1  8758 53.05617 -27.831346 0.73 1  10.67   1.25 1  41.61
1  8759 53.20084 -27.829325 1.43 1   9.71   0.71 0 -99.00
1  8760 53.21553 -27.830835 0.74 1  10.13   1.44 1  41.30
1  8765 53.08791 -27.830847 0.90 1  10.07   0.68 1 -99.00
1  8774 53.05496 -27.831055 0.67 0  10.21  -2.30 0 -99.00
1  8789 53.06565 -27.830545 0.71 1   9.81  -1.10 0 -99.00
1  8834 53.20289 -27.829516 1.22 1  10.04   1.27 0 -99.00
1  8837 53.10900 -27.829575 0.74 0   9.82  -0.30 0 -99.00
1  8847 53.09396 -27.830511 0.73 1  10.51   0.54 1  41.91
1  8942 53.07513 -27.831415 0.67 1  10.93   1.10 1  41.51
1  8946 53.08989 -27.828241 1.11 1  10.00   1.42 1 -99.00
1  8955 53.12956 -27.827648 1.47 1  10.46  -0.75 0  41.49
1  9020 53.05946 -27.829052 0.71 1   9.96   1.06 1 -99.00
1  9026 53.18523 -27.827835 1.02 1  10.33  -0.01 0  43.44
1  9036 53.14837 -27.828861 0.54 1   9.73   0.69 1  40.94
1  9073 53.14188 -27.827167 0.83 0  10.18  -1.47 0  41.39
1  9124 53.20204 -27.826372 1.12 1  10.44   1.92 1 -99.00
